Index	Predicted	Actual
"""GSM2041121"""	1	1
"""GSM2041178"""	1	1
"""GSM2041239"""	0	0
"""GSM2041186"""	0	0
"""GSM2041194"""	0	0
"""GSM2041221"""	0	0
"""GSM2041110"""	1	1
"""GSM2041211"""	0	0
"""GSM2041214"""	0	0
"""GSM2041134"""	1	1
"""GSM2041165"""	1	1
"""GSM2041229"""	0	0
"""GSM2041166"""	0	1
"""GSM2041125"""	1	1
"""GSM2041193"""	0	0
"""GSM2041149"""	1	1
"""GSM2041132"""	1	1
"""GSM2041195"""	0	0
"""GSM2041237"""	0	0
"""GSM2041204"""	0	0
"""GSM2041157"""	1	1
"""GSM2041140"""	1	1
"""GSM2041187"""	0	0
"""GSM2041177"""	1	1
"""GSM2041119"""	1	1
"""GSM2041143"""	1	1
"""GSM2041241"""	0	0
"""GSM2041135"""	1	1
"""GSM2041190"""	0	0
"""GSM2041138"""	1	1
"""GSM2041224"""	1	0
"""GSM2041175"""	1	1
"""GSM2041208"""	0	0
"""GSM2041163"""	0	1
"""GSM2041115"""	1	1
"""GSM2041210"""	0	0
"""GSM2041234"""	0	0
"""GSM2041205"""	0	0
"""GSM2041159"""	1	1
"""GSM2041145"""	1	1
"""GSM2041144"""	0	1
"""GSM2041207"""	0	0
"""GSM2041117"""	1	1
"""GSM2041153"""	1	1
"""GSM2041180"""	1	1
"""GSM2041188"""	0	0
"""GSM2041220"""	0	0
"""GSM2041232"""	0	0
"""GSM2041118"""	1	1
"""GSM2041123"""	1	1
"""GSM2041206"""	0	0
"""GSM2041113"""	1	1
"""GSM2041127"""	1	1
"""GSM2041148"""	1	1
"""GSM2041182"""	1	1
"""GSM2041223"""	0	0
"""GSM2041116"""	1	1
"""GSM2041199"""	0	0
"""GSM2041228"""	0	0
"""GSM2041219"""	0	0
"""GSM2041164"""	1	1
"""GSM2041160"""	1	1
"""GSM2041244"""	0	0
"""GSM2041156"""	1	1
"""GSM2041203"""	0	0
"""GSM2041171"""	1	1
"""GSM2041243"""	1	0
"""GSM2041189"""	0	0
"""GSM2041218"""	0	0
"""GSM2041201"""	0	0
"""GSM2041151"""	1	1
"""GSM2041168"""	0	1
"""GSM2041200"""	0	0
"""GSM2041158"""	1	1
"""GSM2041198"""	0	0
"""GSM2041227"""	0	0
"""GSM2041167"""	0	1
"""GSM2041185"""	0	0
"""GSM2041142"""	1	1
"""GSM2041240"""	0	0
"""GSM2041169"""	0	1
"""GSM2041173"""	1	1
"""GSM2041225"""	0	0
"""GSM2041147"""	1	1
"""GSM2041139"""	1	1
"""GSM2041217"""	0	0
"""GSM2041233"""	0	0
"""GSM2041111"""	0	1
"""GSM2041162"""	1	1
"""GSM2041131"""	1	1
"""GSM2041112"""	1	1
"""GSM2041133"""	1	1
"""GSM2041213"""	0	0
"""GSM2041209"""	0	0
"""GSM2041226"""	0	0
"""GSM2041197"""	0	0
"""GSM2041235"""	0	0
"""GSM2041184"""	0	0
"""GSM2041196"""	0	0
"""GSM2041192"""	0	0
"""GSM2041231"""	0	0
"""GSM2041245"""	0	0
"""GSM2041130"""	1	1
"""GSM2041181"""	1	1
"""GSM2041216"""	0	0
"""GSM2041124"""	0	1
"""GSM2041202"""	0	0
"""GSM2041212"""	0	0

AUC: 0.9063464837049743
Accuracy: 0.9074074074074074
